5.3e-05 7736.13 164953 0.0639241 570.443 0.0198192 0.148687 0.0404146 0.751315 0.0397633 
5.4e-05 7717.2 164990 0.0640381 569.427 0.0201636 0.149441 0.0409408 0.750725 0.0387287 
5.5e-05 7698.67 165026 0.0641505 568.43 0.0205044 0.150172 0.0414523 0.750146 0.0377253 
5.6e-05 7680.53 165062 0.0642613 567.45 0.0208415 0.15088 0.0419493 0.749577 0.036752 
5.7e-05 7662.77 165097 0.0643705 566.487 0.021175 0.151567 0.042432 0.749018 0.0358078 
5.8e-05 7645.38 165131 0.0644782 565.54 0.021505 0.152233 0.0429006 0.748469 0.0348918 
5.9e-05 7628.34 165165 0.0645844 564.611 0.0218313 0.15288 0.0433551 0.747931 0.0340029 
6e-05 7611.66 165199 0.064689 563.697 0.022154 0.153507 0.0437958 0.747402 0.0331404 
6.1e-05 7595.31 165231 0.0647922 562.799 0.0224731 0.154117 0.0442229 0.746884 0.0323032 
6.2e-05 7579.29 165263 0.064894 561.917 0.0227887 0.154709 0.0446365 0.746375 0.0314906 
6.3e-05 7563.6 165295 0.0649943 561.05 0.0231007 0.155284 0.0450369 0.745876 0.0307019 
6.4e-05 7548.21 165326 0.0650932 560.198 0.0234092 0.155843 0.0454241 0.745387 0.0299361 
6.5e-05 7533.12 165357 0.0651907 559.36 0.0237142 0.156387 0.0457985 0.744907 0.0291927 
6.6e-05 7518.33 165387 0.0652868 558.536 0.0240157 0.156916 0.0461602 0.744437 0.0284708 
6.7e-05 7503.82 165416 0.0653816 557.727 0.0243137 0.157431 0.0465094 0.743976 0.0277698 
6.8e-05 7489.6 165445 0.065475 556.931 0.0246082 0.157932 0.0468462 0.743524 0.0270891 
6.9e-05 7475.64 165474 0.0655671 556.148 0.0248993 0.15842 0.047171 0.743081 0.0264279 
7e-05 7461.95 165502 0.0656579 555.379 0.025187 0.158896 0.0474839 0.742648 0.0257858 
7.1e-05 7448.51 165529 0.0657475 554.623 0.0254714 0.159359 0.047785 0.742223 0.025162 
7.2e-05 7435.33 165557 0.0658358 553.879 0.0257523 0.15981 0.0480747 0.741807 0.0245561 
7.3e-05 7422.38 165583 0.0659228 553.147 0.02603 0.16025 0.0483531 0.741399 0.0239675 
7.4e-05 7409.68 165609 0.0660087 552.428 0.0263043 0.16068 0.0486203 0.741 0.0233956 
7.5e-05 7397.21 165635 0.0660933 551.72 0.0265754 0.161099 0.0488767 0.740609 0.0228399 
7.6e-05 7384.96 165661 0.0661768 551.025 0.0268432 0.161508 0.0491224 0.740227 0.0223001 
7.7e-05 7372.94 165686 0.0662591 550.34 0.0271078 0.161907 0.0493576 0.739852 0.0217754 
7.8e-05 7361.12 165710 0.0663402 549.667 0.0273692 0.162297 0.0495825 0.739486 0.0212656 
7.9e-05 7349.52 165734 0.0664203 549.005 0.0276275 0.162678 0.0497973 0.739127 0.0207702 
8e-05 7338.13 165758 0.0664992 548.353 0.0278827 0.16305 0.0500022 0.738777 0.0202887 
8.1e-05 7326.93 165781 0.066577 547.712 0.0281347 0.163414 0.0501975 0.738433 0.0198208 
8.2e-05 7315.93 165804 0.0666538 547.081 0.0283838 0.16377 0.0503832 0.738098 0.0193659 
8.3e-05 7305.11 165827 0.0667295 546.461 0.0286297 0.164118 0.0505597 0.737769 0.0189238 
8.4e-05 7294.49 165849 0.0668041 545.85 0.0288727 0.164458 0.050727 0.737448 0.018494 
