-----------------------------------------------------------------------
NEUTRAL-NEUTRAL and NEUTRAL-ION interactions
-----------------------------------------------------------------------
 Fit coefficients for the reduced collision integrals and ratios:
 -Q11IJ = pi *sigmaIJ**2 *omegastar11IJ, AstarIJ, BstarIJ and CstarIJ.
 Formula of the type:
 -Q11IJ = 1.D-20 *EXP( C1*lnT**3 +C2*lnT**2 +C3*lnT +C4 ) in m^2
 -AstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -BstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)
 -CstarIJ  = EXP(C1*lnT**3 +C2*lnT**2 +C3*lnT +C4)

ATTENTION, the present data are: Q11IJ, Q22IJ, BstarIJ, 0.D0

-9.1012703e-004  7.8343536e-003 -1.8707494e-001  4.3361932e+000
-8.4072422e-004  7.2508478e-003 -1.7744422e-001  4.4339114e+000
 1.2748452e-004 -1.4588844e-003  1.4748825e-002  2.4682549e-002
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N-N.
-5.54400E-03    1.07890E-01   -9.01100E-01    5.83570E+00
-6.46400E-03    1.42760E-01   -1.27810E+00    7.21350E+00
 0.00000E+00    4.88000E-03   -5.95000E-02    3.21000E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N-O.
-1.06200E-02    2.42500E-01   -2.08650E+00    9.32090E+00
-1.12230E-02    2.64720E-01   -2.31450E+00    1.01745E+01
 0.00000E+00    1.32600E-02   -2.08900E-01    9.84500E-01
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N-CO.
 -2.0318602e-003  3.0605593e-002 -3.7324272e-001  4.8692602e+000
 -1.9086177e-003  2.9058110e-002 -3.5551006e-001  4.9519996e+000
  2.4979338e-004 -3.9768125e-003  3.3658119e-002  1.4140474e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.N-CO2.
 -2.0318602e-003  3.0605593e-002 -3.7324272e-001  4.8692602e+000
 -1.9086177e-003  2.9058110e-002 -3.5551006e-001  4.9519996e+000
  2.4979338e-004 -3.9768125e-003  3.3658119e-002  1.4140474e-002
  0.0000000e+000  0.0000000e+000  0.0000000e+000  0.0000000e+000
-----------------------------------------------------------------------
.N-N2.
-1.51789E-03    2.30672E-02   -4.22508E-01    5.46824E+00
-3.51846E-03    7.14265E-02   -7.70251E-01    6.34262E+00
-1.61616E-03    4.59611E-02   -3.90469E-01    1.13622E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N-NO.
-2.26640E-03    5.78121E-02   -7.71983E-01    6.44535E+00
-3.73481E-03    9.42189E-02   -1.04371E+00    7.17953E+00
-1.55459E-03    4.27074E-02   -3.66954E-01    1.10023E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.N-O2.
-2.18342E-03    5.38537E-02   -7.31728E-01    6.30580E+00
-3.70168E-03    9.13422E-02   -1.00981E+00    7.05029E+00
-1.43233E-03    4.00791E-02   -3.47262E-01    1.05104E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O-O.
-9.05100E-03    2.16280E-01   -2.00050E+00    9.40750E+00
-9.69100E-03    2.37450E-01   -2.19950E+00    1.01214E+01
 0.00000E+00    1.43000E-02   -2.39000E-01    1.16420E+00
 0.00000E+00    0.00000E+00    0.00000E+00    0.00000E+00
-----------------------------------------------------------------------
.O-CO.
-1.0724729e-003  9.9488020e-003 -2.0434960e-001  4.2829451e+000
