    1  0.000000E+00
    2  0.000000E+00
    3  0.356283E-05
    4  0.000000E+00
    5  0.000000E+00
    6  0.377460E-05
    7  0.000000E+00
    8  0.000000E+00
    9  0.584063E-05
   10  0.000000E+00
   11  0.436342-261
   12  0.337974E-05
   13  0.000000E+00
   14  0.360750E-68
   15  0.477593E-05
   16  0.000000E+00
   17  0.588251E-19
   18  0.723690E-05
   19  0.000000E+00
   20  0.242995E-05
   21  0.000000E+00
   22  0.611259-150
   23  0.281594E-05
   24  0.000000E+00
   25  0.122369E-17
   26  0.140210E-04
   27  0.000000E+00
   28  0.491911E-05
   29  0.000000E+00
   30  0.311751E-40
   31  0.662132E-05
   32  0.000000E+00
   33  0.260985E-05
   34  0.000000E+00
   35  0.903612E-34
   36  0.361284E-05
   37  0.000000E+00
   38  0.562747E-05
   39  0.000000E+00
   40  0.191202E-07
   41  0.107206E-04
   42  0.132493E-86
   43  0.417767E-05
   44  0.000000E+00
   45  0.214598E-05
   46  0.000000E+00
   47  0.465664E-05
   48  0.000000E+00
   49  0.365016E-23
   50  0.894284E-05
   51  0.290972E-80
   52  0.529470E-05
   53  0.000000E+00
   54  0.353108E-05
   55  0.000000E+00
   56  0.256913E-05
   57  0.000000E+00
   58  0.201633E-05
   59  0.000000E+00
   60  0.170291E-05
   61  0.000000E+00
   62  0.548959E-05
   63  0.000000E+00
   64  0.566913E-05
   65  0.000000E+00
   66  0.611051E-05
   67  0.142195E-77
   68  0.699852E-05
   69  0.578830E-16
   70  0.262080E-05
   71  0.146922E-05
   72  0.000000E+00
   73  0.218569E-05
   74  0.463618E-53
   75  0.370644E-05
   76  0.299900E-05
   77  0.000000E+00
   78  0.493032E-05
   79  0.159452E-05
   80  0.000000E+00
   81  0.353512E-05
   82  0.124276E-05
   83  0.000000E+00
   84  0.341792E-05
   85  0.151452E-05
   86  0.293481E-05
   87  0.939356E-43
   88  0.280925E-05
   89  0.186703E-05
   90  0.144073E-05
   91  0.130698E-05
   92  0.136467E-05
   93  0.162922E-05
   94  0.210608E-05
   95  0.856847E-06
   96  0.153715E-05
   97  0.152501E-05
   98  0.215901E-05
   99  0.669746E-06
  100  0.737066E-06
