   0.410000E+04  0.494561E-07  0.390791E-06  0.415007E+00  0.515142E+00  0.197822E-01  0.500685E-01  0.527683E-10  0.494034E-07
   0.420000E+04  0.825869E-07  0.800739E-06  0.435303E+00  0.512042E+00  0.142837E-01  0.383709E-01  0.146687E-09  0.824402E-07
   0.430000E+04  0.134114E-06  0.160450E-05  0.451047E+00  0.509398E+00  0.103752E-01  0.291781E-01  0.395248E-09  0.133719E-06
   0.440000E+04  0.212447E-06  0.314280E-05  0.463026E+00  0.507256E+00  0.759505E-02  0.221188E-01  0.103128E-08  0.211416E-06
   0.450000E+04  0.329176E-06  0.601618E-05  0.472032E+00  0.505574E+00  0.561009E-02  0.167772E-01  0.260371E-08  0.326573E-06
   0.460000E+04  0.500130E-06  0.112554E-04  0.478762E+00  0.504274E+00  0.418432E-02  0.127679E-01  0.635845E-08  0.493771E-06
   0.470000E+04  0.746789E-06  0.205856E-04  0.483782E+00  0.503276E+00  0.315237E-02  0.976772E-02  0.150180E-07  0.731771E-06
   0.480000E+04  0.109829E-05  0.368258E-04  0.487536E+00  0.502504E+00  0.239901E-02  0.752109E-02  0.343093E-07  0.106398E-05
   0.490000E+04  0.159433E-05  0.644795E-04  0.490359E+00  0.501896E+00  0.184394E-02  0.583329E-02  0.758216E-07  0.151851E-05
   0.500000E+04  0.228952E-05  0.110587E-03  0.492499E+00  0.501396E+00  0.143108E-02  0.455900E-02  0.162092E-06  0.212743E-05
   0.510000E+04  0.326010E-05  0.185934E-03  0.494142E+00  0.500953E+00  0.112109E-02  0.359107E-02  0.335159E-06  0.292494E-05
   0.520000E+04  0.461402E-05  0.306716E-03  0.495429E+00  0.500518E+00  0.886127E-03  0.285091E-02  0.670054E-06  0.394397E-05
   0.530000E+04  0.650620E-05  0.496797E-03  0.496467E+00  0.500036E+00  0.706393E-03  0.228094E-02  0.129463E-05  0.521157E-05
   0.540000E+04  0.916047E-05  0.790677E-03  0.497344E+00  0.499441E+00  0.567665E-03  0.183890E-02  0.241652E-05  0.674395E-05
   0.550000E+04  0.129002E-04  0.123730E-02  0.498136E+00  0.498647E+00  0.459645E-03  0.149367E-02  0.435721E-05  0.854299E-05
   0.560000E+04  0.181889E-04  0.190470E-02  0.498916E+00  0.497545E+00  0.374814E-03  0.122222E-02  0.759246E-05  0.105964E-04
   0.570000E+04  0.256814E-04  0.288554E-02  0.499759E+00  0.495989E+00  0.307632E-03  0.100740E-02  0.127990E-04  0.128824E-04
   0.580000E+04  0.362866E-04  0.430292E-02  0.500748E+00  0.493787E+00  0.253984E-03  0.836367E-03  0.209084E-04  0.153782E-04
   0.590000E+04  0.512385E-04  0.631599E-02  0.501977E+00  0.490694E+00  0.210789E-03  0.699443E-03  0.331691E-04  0.180695E-04
   0.600000E+04  0.721751E-04  0.912376E-02  0.503559E+00  0.486407E+00  0.175720E-03  0.589278E-03  0.512168E-04  0.209584E-04
   0.620000E+04  0.141028E-03  0.181102E-01  0.508311E+00  0.472745E+00  0.123305E-03  0.428025E-03  0.113577E-03  0.274511E-04
   0.640000E+04  0.266582E-03  0.334464E-01  0.516146E+00  0.449467E+00  0.870014E-04  0.321179E-03  0.231218E-03  0.353646E-04
   0.660000E+04  0.481481E-03  0.570111E-01  0.528033E+00  0.413682E+00  0.610595E-04  0.249288E-03  0.435813E-03  0.456685E-04
   0.680000E+04  0.824324E-03  0.891137E-01  0.544147E+00  0.364849E+00  0.421133E-04  0.199734E-03  0.764484E-03  0.598407E-04
   0.700000E+04  0.133393E-02  0.127561E+00  0.563401E+00  0.306178E+00  0.282287E-04  0.164105E-03  0.125404E-02  0.798987E-04
   0.720000E+04  0.204398E-02  0.168069E+00  0.583658E+00  0.244030E+00  0.182547E-04  0.136940E-03  0.193555E-02  0.108434E-03
   0.740000E+04  0.298117E-02  0.205925E+00  0.602562E+00  0.185424E+00  0.113726E-04  0.115000E-03  0.283250E-02  0.148669E-03
   0.760000E+04  0.416777E-02  0.237711E+00  0.618401E+00  0.135448E+00  0.685856E-05  0.966105E-04  0.396322E-02  0.204554E-03
