300 -383.70974
400 -379.77505
500 -375.47217
600 -370.87021
700 -366.02123
800 -360.96824
900 -355.74425
1000 -350.37526
1100 -344.88597
1200 -339.29296
1300 -333.60505
1400 -327.81692
1500 -321.90531
1600 -315.79884
1700 -309.38691
1800 -302.48706
1900 -294.84018
2000 -286.10753
2100 -275.88081
2200 -263.72144
2300 -249.18852
2400 -231.92391
2500 -211.71099
2600 -188.56348
2700 -162.74606
2800 -134.78781
2900 -105.41392
3000 -75.449669
3100 -45.678463
3200 -16.764724
3300 10.800501
3400 36.683599
3500 60.659872
3600 82.55688
3700 102.22789
3800 119.57879
3900 134.58134
4000 147.32124
4100 157.99963
4200 166.90223
4300 174.3472
4400 180.65233
4500 186.0889
4600 190.87879
4700 195.19801
4800 199.17677
4900 202.9201
5000 206.49532
5100 209.96699
5200 213.38498
5300 216.79904
5400 220.25326
5500 223.80642
5600 227.52998
5700 231.51147
5800 235.86726
5900 240.73436
6000 246.29526
6200 260.35731
6400 279.93968
6600 306.64165
6800 340.67895
7000 380.1287
7200 421.32141
7400 460.28697
7600 494.22742
7800 522.10619
8000 544.2992
8200 561.9155
8400 576.19879
8600 588.22562
8800 598.82285
9000 608.58376
9200 617.92329
9400 627.1268
9600 636.39244
9800 645.85781
10000 655.61461
10500 681.67055
11000 710.44607
11500 742.02314
12000 776.2418
12500 812.81759
13000 851.41724
13500 891.61284
14000 932.79944
14500 974.12136
15000 1014.5278
15500 1052.9449
16000 1088.4909
16500 1120.6501
17000 1149.3082
17500 1174.6837
18000 1197.206
18500 1217.3798
19000 1235.6893
19500 1252.5573
20000 1268.3313

